"X_uid_","id","data","endereco","bairro","fonte","nome","url","dom_geo","cluster","x","y","classe_potencial_construtivo","potencial_construtivo","renda","dist_via_principal","dist_via_secundaria","dist_polo_padrao","dist_polo_valoriz","dist_polo_desvaloriz","area","precounit","preco","geom","z"
108,13710572,2022-07-18,"Rua Doutor euclides cardeal","SOUZA CRUZ","internet","GOLDINVEST","https://www.goldinvestimoveis.com.br/detalhes_imovel/5041/terreno-no-bairro-souza-cruz-brusque-venda-RS399000","Dom_Geo_03",3,704927.03,6996834.53,"Baixo Potencial",0,1261.16,2982.56,1036.89,1,2092.1,738.84,982.97,405.91,399000,c(704927.031491038, 6996834.52618609),405.91
109,13697844,2022-07-15,"Rua Frederico Debatim","AGUAS CLARAS","internet","Zucco","https://www.imobiliariazucco.com.br/imovel/terreno-a-venda-810-m-por-330000-aguas-claras-brusque-sc/TE0067-ZUCC?from=sale","Dom_Geo_03",3,707463.84,6995910.41,"Baixo Potencial",0,1330.5,643.49,72.61,222.84,1231.1,732.85,810,407.41,330000,c(707463.843951393, 6995910.41126365),407.41
110,13735262,2022-07-26,"Rua Luiz Boni","PONTA RUSSA","internet","Brusimoveis","https://www.brusimoveis.com.br/detalhes_imovel/141/terreno-no-bairro-ponta-russa-brusque-venda-RS120000","Dom_Geo_03",3,709255.05,6996374.32,"Baixo Potencial",0,1206.49,985.24,1210.5,340.62,1391.06,1706.39,294,408.16,120000,c(709255.05045802, 6996374.32314238),408.16
111,13661180,2022-07-12,"Rua José Jacinto Cardeal","CEDRINHO","internet","planifik",NA,"Dom_Geo_03",3,705212.51,6994226.22,"Baixo Potencial",0,1185.58,2338.78,1849.69,23.07,3141.1,1681.17,303.75,411.52,125000,c(705212.510587589, 6994226.22234152),411.52
113,13666028,2022-07-12,"Rua Francisco Haag","RIO BRANCO","internet","planifik",NA,"Dom_Geo_02",2,703054.74,6998632.51,"Baixo Potencial",0,1340.71,3867.59,1524.24,1,1343.03,1848.65,312,416.67,130000,c(703054.74359556, 6998632.51384966),416.67
114,13697830,2022-07-15,"Lot. Independencia","AGUAS CLARAS","internet","Zucco","https://www.imobiliariazucco.com.br/imovel/terreno-a-venda-381-m-por-160000-aguas-claras-brusque-sc/TE0239-ZUCC?from=sale","Dom_Geo_03",3,706828.17,6994406.23,"Baixo Potencial",0,1287.79,817.63,1023.21,1,1536.77,1074.55,381,419.95,160000,c(706828.165413198, 6994406.22738469),419.95
116,13697829,2022-07-15,"Rua Luiz Joao Schinkein - Lot. Prospero Cadore","LIMEIRA BAIXA","internet","Zucco","https://www.imobiliariazucco.com.br/imovel/terreno-a-venda-398-m-por-170000-limeira-brusque-sc/TE0233-ZUCC?from=sale","Dom_Geo_03",4,711463.15,7002350.2,"Baixo Potencial",0,1202.19,2161.82,2277.37,1,2679.94,83.41,399,426.07,170000,c(711463.150286013, 7002350.20074093),426.07
117,13697852,2022-07-15,"Lot. Jd. Alamandas","LIMEIRA BAIXA","internet","Zucco","https://www.imobiliariazucco.com.br/imovel/terreno-de-305-m-limeira-brusque-a-venda-por-130000/TE0128-ZUCC?from=sale","Dom_Geo_03",4,712682.94,7003139.93,"Baixo Potencial",0,1258.21,2725.3,2760.35,1,2117.85,1445.94,305,426.23,130000,c(712682.935201444, 7003139.93457426),426.23
119,13697832,2022-07-15,"Lot. Independencia","AGUAS CLARAS","internet","Zucco","https://www.imobiliariazucco.com.br/imovel/terreno-a-venda-360-m-por-155000-aguas-claras-brusque-sc/TE0243-ZUCC?from=sale","Dom_Geo_03",3,706614.23,6994356.9,"Baixo Potencial",0,1281.78,998.69,1064.99,1,1755.01,1269.95,360,430.56,155000,c(706614.232617028, 6994356.90468492),430.56
120,13750649,2022-07-27,"Rua Barriga Verde","CERAMICA REIS","internet","Hoffmann","https://www.imobiliariahoffmann.com.br/imovel/930/terreno-em-brusque-no-bairro-sao-pedro/","Dom_Geo_01",2,706459.04,7004317.09,"Baixo Potencial",0,1233.91,1505.27,507.14,8.08,1434.38,438.6,462,432.9,2e+05,c(706459.044203427, 7004317.0858313),432.9
