id,ct_bciinsc,inscricao,potencial_construtivo,renda,dist_via_principal,dist_via_secundaria,dist_polo_padrao,dist_polo_valoriz,dist_polo_desvaloriz,area,predicao
10205913,01.10.013.2472,1100132472,0,1121.22,1583.34,1867.74,374.25,2337.56,1492.37,400,436.14
10205914,01.10.013.2625,1100132625,0,1115.04,1690.47,2059.56,565.09,2512.21,1575.67,400,438.44
10205915,01.10.013.2620,1100132620,0,1116.13,1719.17,2079.95,584.44,2540.5,1554.12,400,442.8
10205916,01.10.013.2695,1100132695,0,1111.45,1632.79,2070.19,582.28,2489.61,1648.65,400,424.59
10205917,01.10.013.2731,1100132731,0,1110.29,1584.85,2021.19,540.47,2432.81,1644.01,400,421.24
10205918,01.10.013.2709,1100132709,0,1109.69,1621.11,2069.25,583.61,2483.2,1664.67,400,419.73
10205919,01.10.013.2623,1100132623,0,1115.59,1707.39,2070.8,575.64,2528.13,1565.49,400,439.98
10205920,01.10.013.2694,1100132694,0,1112.02,1640.15,2053.83,565.02,2482.22,1589.32,400,428.94
10205921,01.10.013.2693,1100132693,0,1110.87,1605.51,2032.51,548.29,2450.75,1648.19,400,422.04
10205922,01.10.018.0852,1100180852,0,1087.01,1402.43,2342.18,950.58,2568.84,1932.63,400,375.4
10205923,01.10.013.2490,1100132490,0,1120.92,1605.87,1900.55,408.07,2361.77,1524.89,400,433.64
10205924,01.10.013.2534,1100132534,0,1118.44,1771.33,2096.03,600.74,2575.93,1504.89,400,444.86
10205925,01.10.013.2617,1100132617,0,1116.5,1527.95,1926.38,450.63,2343.54,1507.68,400,429.03
10205926,01.10.013.2548,1100132548,0,1118.44,1749.08,2084.71,588.94,2558.11,1512.83,400,444.84
10205927,01.10.013.2627,1100132627,0,1115.04,1673.72,2048.73,555.19,2496.77,1589.87,400,435.26
10205928,01.10.013.2629,1100132629,0,1114.48,1656.92,2038.22,545.86,2481.68,1603.73,400,437.67
10205929,01.10.013.2611,1100132611,0,1112.75,1611.82,2009.83,522.17,2440.44,1633.26,400,424.39
10205930,01.10.013.2610,1100132610,0,1113.33,1626.26,2018.6,529.24,2453.27,1630.3,400,430.98
10205931,01.10.013.2630,1100132630,0,1113.91,1641.38,2028.33,537.35,2467.41,1617.34,400,432.76
10205932,01.10.013.2463,1100132463,0,1125.42,1598.31,1871.08,375.27,2359.18,1496.89,400,435.41
10205933,01.10.013.2441,1100132441,0,1126.17,1724.61,1979.61,488.18,2491.28,1461.65,400,450.2
10205934,01.10.013.2455,1100132455,0,1124.63,1675.3,1945.07,449.44,2434.97,1514.83,400,447.73
10205935,01.10.013.2491,1100132491,0,1124.46,1617.17,1889.36,393.51,2374.99,1515.31,400,438.97
10205936,01.10.013.2442,1100132442,0,1125.67,1711.91,1972.27,479.85,2474.99,1474.87,400,449.76
10205938,01.10.013.2454,1100132454,0,1124.63,1673.35,1941.01,445.62,2434.39,1474.9,400,445.86
10205939,01.10.013.2459,1100132459,0,1125.99,1617.65,1885.74,390.06,2380.56,1512.15,400,438.97
10205940,01.10.013.2440,1100132440,0,1127.65,1728.55,1980.06,490.29,2497.18,1448.12,400,450.03
10205941,01.10.013.2478,1100132478,0,1127.39,1536.98,1810.98,315.58,2299.67,1436.41,400,430.38
10205942,01.10.013.2479,1100132479,0,1124.61,1524.22,1805.9,312.17,2280.59,1430.68,400,430.06
10205943,01.10.013.2477,1100132477,0,1125.81,1544.48,1821.36,326.41,2305.11,1446.54,400,432.91
10205944,01.10.013.2476,1100132476,0,1124.25,1551.28,1830.87,336.49,2309.95,1455.82,400,433.75
10205945,01.10.013.2480,1100132480,0,1123.05,1525.18,1811.78,320.77,2280.59,1436.03,400,430.32
10205946,01.10.013.4027,1100134027,0,1143.38,1400.7,1630.23,158.71,2166.65,1260.68,400,453.36
10205947,01.10.013.3940,1100133940,0,1144.0,1426.92,1657.22,184.51,2193.68,1287.75,400,448.69
10205948,01.10.013.3464,1100133464,0,1131.36,1262.39,1532.92,57.67,2037.45,1157.39,400,443.71
10205949,01.10.013.3930,1100133930,0,1141.56,1411.01,1646.63,167.76,2182.69,1276.22,400,451.75
10205950,01.10.013.3413,1100133413,0,1127.37,1268.99,1557.48,104.69,2035.41,1180.7,400,440.89
10205951,01.10.013.3925,1100133925,0,1133.4,1427.33,1662.81,184.03,2199.18,1293.11,400,436.62
10205952,01.10.013.3430,1100133430,0,1128.62,1290.42,1576.0,108.53,2057.22,1199.69,400,439.62
10205953,01.10.013.3396,1100133396,0,1124.5,1273.22,1569.75,126.56,2035.24,1192.56,400,439.15
10205954,01.10.013.3236,1100133236,0,1114.42,1301.79,1634.63,233.53,2037.38,1256.79,400,436.72
