"id","data","endereco","bairro","fonte","nome","url","dom_geo","cluster","x","y","classe_potencial_construtivo","potencial_construtivo","renda","dist_via_principal","dist_via_secundaria","dist_polo_padrao","dist_polo_valoriz","dist_polo_desvaloriz","area","precounit","preco","wkt_the_geom"
13697428,"2022-07-14","Cond. Reserva Club","AZAMBUJA","internet","Amo imoveis",NULL,"Dom_Geo_03",3,705930.08,6997416.04,"Baixo Potencial",0,1288.45,1828.65,203.56,1,1495.48,731.89,418.9,787.78,330000,"POINT(705930.0761196213 6997416.039625992)"
13661169,"2022-07-12","Cond. Reserva Club","AZAMBUJA","internet","Julio imoveis",NULL,"Dom_Geo_03",3,705893.44,6997515.39,"Baixo Potencial",0,1291.86,1800.48,150.37,1,1391.42,680.41,418.9,787.78,330000,"POINT(705893.4398387792 6997515.390934145)"
13723827,"2022-07-21","Rua Melchior Kohler","RIO BRANCO","internet","William Imoveis","https://www.williamimoveis.com.br/detalhes_imovel/3440","Dom_Geo_02",2,704183.63,6998812.74,"Baixo Potencial",0,1575.26,2747.42,495.34,454.22,889.36,1108.55,1200.77,791.16,950000,"POINT(704183.6338220608 6998812.736609777)"
13710580,"2022-07-18","Rua Bento Frnacisco Sgrott","PRIMEIRO DE MAIO","internet","GOLDINVEST","https://www.goldinvestimoveis.com.br/detalhes_imovel/4694/terreno-no-bairro-primeiro-de-maio-brusque-venda-RS370000","Dom_Geo_03",2,707407.20,6998789.60,"Baixo Potencial",0,1422.4,160.99,1168.18,330.45,1,1901.09,465,795.70,370000,"POINT(707407.1963013251 6998789.601484716)"
13750615,"2022-07-27","Rua beira Rio","DOM JOAQUIM","internet","Hoffmann","https://www.imobiliariahoffmann.com.br/imovel/913/terreno-em-brusque-no-bairro-dom-joaquim/","Dom_Geo_02",0,701565.59,6996287.80,"Baixo Potencial",0,1372.68,6179.93,361.58,400.55,893.54,1830.04,297,808.08,240000,"POINT(701565.5860302995 6996287.798596373)"
13723954,"2022-07-21","Rua Padre orlando maria Murphy","CENTRO I","internet","Jorge Floriani","https://www.jorgefloriani.com.br/imovel/comprar/terreno/brusque/centro/1684","Dom_Geo_02",2,705766.63,7001581.98,"Alto Potencial",1,2712.04,975.87,442.15,314.27,207.45,1,1158.8,819.81,950000,"POINT(705766.6348840517 7001581.975943172)"
13724569,"2022-07-22","Rua Melchior Kohler","RIO BRANCO","internet","Jose Luis Ambrosi","https://www.joseluisambrosi.com.br/detalhes_imovel/1552/terreno-comercial-e-residencial-no-rio-branco-rio-branco-brusque-Otimo-terreno-comercial-e","Dom_Geo_02",2,704184.28,6998822.10,"Baixo Potencial",0,1575.26,2743.21,496.64,454.78,887.61,1116.40,1200.77,824.47,990000,"POINT(704184.284172992 6998822.098874083)"
13697858,"2022-07-15","Cond. Reserva Club","AZAMBUJA","internet","Zucco","https://www.imobiliariazucco.com.br/imovel/terreno-de-420-m-azambuja-brusque-a-venda-por-349000/TE0102-ZUCC?from=sale","Dom_Geo_03",3,706009.71,6997243.59,"Baixo Potencial",0,1285.34,1877.81,265.42,1,1679.81,860.42,420,830.95,349000,"POINT(706009.7109410549 6997243.586052073)"
13710605,"2022-07-18","Lot. Solar dos ventos","SOUZA CRUZ","internet","PRIMAX","https://www.primaximoveis.com.br/imovel/terreno-no-bairro-souza-cruz-brusque-venda-RS250000/24199","Dom_Geo_03",3,704393.45,6997353.70,"Baixo Potencial",0,1269.02,3167.07,324.98,1,1706.51,452.07,300,833.33,250000,"POINT(704393.4472377321 6997353.702314282)"
13697786,"2022-07-15","Rua Arthur Erico Heining","STEFFEN","internet","Zucco","https://www.imobiliariazucco.com.br/imovel/terreno-de-508-m-steffen-brusque-a-venda-por-424000/TE0166-ZUCC?from=sale","Dom_Geo_01",2,707229.29,7003390.33,"Baixo Potencial",0,1431.1,329.31,163.27,217.04,988.86,1131.85,508,834.65,424000,"POINT(707229.2860743336 7003390.334033111)"
